"","143A-CA3-1","144A-CA3-2","144B-CA3-1","144C-CA3-2","144D-CA3-2","146A-CA3-2","146B-CA3-2","146D-CA3-3","147C-CA3-3","147D-CA3-1","148A-CA3-3","148B-CA3-4"
"Xlr4c",5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,5.8714991157142,6.10558361421441,5.8714991157142,5.8714991157142,5.8714991157142
"Xndc1",6.54822336691565,6.73295367629313,6.69029523969881,6.62367124775845,6.76222801855313,6.67167928784357,6.63408131806947,7.05111552737548,6.75751441773045,6.96544116707347,6.52217666148822,6.82038461237171
"Xntrpc",5.8714991157142,5.8714991157142,5.8714991157142,6.2291892061374,5.8714991157142,5.8714991157142,6.05848225421832,5.8714991157142,6.15803630484152,5.8714991157142,5.8714991157142,6.62308016220771
"Xpa",6.6114897577608,5.8714991157142,6.5957121745569,6.48792481121569,6.23993883949008,6.17025322561804,6.77340820694512,6.98115890895424,6.41780842631037,6.6381951109319,6.37720153293505,6.46361303672114
"Xpc",6.64102186488411,6.83121318356222,7.07346994985773,6.95141090182867,7.08797811362387,6.67167928784357,6.89190314319699,6.97072805059983,7.07110995282867,6.83476135117871,7.1621357582939,7.17643994300005
"Xpnpep1",7.88942518962124,7.7013657813165,7.56518569324702,7.77481030834761,7.85086008019935,7.80437606888358,7.70013401174401,7.90536365366757,7.70312105418976,7.88927381208218,8.17669338597738,7.8137557160831
"Xpnpep2",5.8714991157142,5.8714991157142,5.8714991157142,6.12474723758388,6.23993883949008,5.8714991157142,6.51434967981504,6.14689619562984,6.20218346759228,6.09838159864917,6.37720153293505,6.40591654206932
"Xpnpep3",6.80861837387635,6.91913490601422,6.6445871080799,6.58152547799477,6.62454492486751,6.88715934558308,6.39781406224747,7.30555063944939,6.99675584324298,6.92895802114987,6.8410964504389,6.86291523541091
"Xpo1",8.11147502782446,8.11229034597995,8.159305415375,8.0085259095248,7.86361642429665,7.89963043948841,8.20734290379893,8.50675810924383,8.17116972363258,7.8381136706947,8.18506287037702,7.80944929002655
"Xpo4",6.68312864298487,6.62024200415234,6.54297496583732,6.70103236680679,6.89484876052297,6.83117847897526,6.56492170800354,6.70258962738096,6.92202278650008,6.62741024488222,6.31798947697706,6.48157318212008
"Xpo5",7.6359944939193,7.26640472102426,7.60090110392327,7.50298348255276,7.70847586280423,7.69496674878135,7.68520291953472,7.60810106111412,7.41600790798848,7.8413722946714,7.82208815254999,7.51346545360929
"Xpo6",8.32300036140756,7.77975547190752,8.3491979475601,8.25171179685405,8.2597768661011,7.79268268867888,8.14590587272644,8.34996266840832,8.25515446498734,8.47998783048539,8.25019203325509,8.37970507949314
"Xpo7",8.10068366257448,7.37826164007414,8.28883774027341,8.0608852794799,8.03003668128457,8.04738835921933,7.99034107814464,8.10385588796407,8.04874406008347,8.1850389675528,8.38970616219684,8.00870810140151
"Xpot",8.37987780794088,7.95671589036794,8.37839620760111,8.1879957690976,8.25507991391172,8.09003074637421,8.33604890700164,8.47740207905114,8.36768302840442,8.27676121866087,8.22613922649992,8.19751723394002
"Xpr1",8.13631692650044,7.85352142522232,8.32937639066043,8.01916722678831,8.13709142710123,8.02798107193552,8.04804300112914,8.5440041161751,8.47157515664799,8.08651977484967,7.77715804957199,8.15526482977739
"Xrcc1",7.11072316595287,6.83121318356222,6.98420590840172,6.73687139946164,6.93975087475964,7.27186259125285,6.84314527060143,6.97072805059983,6.84048064370743,7.21617906283267,7.14241634540194,7.23444474800681
"Xrcc2",6.68312864298487,6.48509415113804,6.69029523969881,6.12474723758388,6.53174292999677,6.7230540943997,6.54014770739072,5.8714991157142,6.4417954747654,6.62741024488222,5.8714991157142,6.57929215283891
"Xrcc3",6.79692657697818,6.73295367629313,5.8714991157142,6.58152547799477,6.55621678657737,6.32677786550449,6.6766217279604,6.62655057970188,7.02397623996612,6.67976649807206,6.65648537389578,6.60879738937397
"Xrcc4",6.73577618853,6.62024200415234,6.77411668052949,6.48792481121569,6.53174292999677,6.53486846870278,6.79140618041495,6.90551699183743,6.92202278650008,6.92895802114987,6.50046197714399,6.88341288333688
"Xrcc5",6.53138452223446,7.07293997536656,5.8714991157142,6.86598582026402,6.8475311113811,6.51274396027925,6.75499606905853,6.44193160056966,6.92202278650008,6.6488167429415,6.7842176355245,6.87322465552135
"Xrcc6",6.83151736449931,6.83121318356222,7.01489498603501,7.14714177502792,6.95423482063966,6.3579273508265,6.77340820694512,7.07961014144283,7.14972514718593,6.72862682501709,7.07020180522681,7.04104735231602
"Xrcc6bp1",6.2121796980498,6.30699851990492,6.69029523969881,5.8714991157142,6.28314971159458,6.88715934558308,6.42935924163241,5.8714991157142,6.15803630484152,6.45394735979256,6.16445996696577,6.34082640412592
