,Subfield,Gene,Group,meandiff,p-adj,sig
225,CA1,Fosl2,conflict.trained.VS.standard.yoked,-0.3357,0.7581, 
226,CA1,Npas4,conflict.trained.VS.standard.yoked,-0.4782,0.96, 
227,CA1,Arc,conflict.trained.VS.standard.yoked,0.338,0.8795, 
228,CA1,Grin1,conflict.trained.VS.standard.yoked,-0.0826,0.9008, 
229,CA1,Gria1,conflict.trained.VS.standard.yoked,-0.0101,0.9998, 
230,CA1,Gria2,conflict.trained.VS.standard.yoked,0.286,0.484, 
231,CA1,Pick1,conflict.trained.VS.standard.yoked,0.7106,0.2614, 
232,CA1,Nsf,conflict.trained.VS.standard.yoked,-0.1227,0.9717, 
233,CA1,Numb,conflict.trained.VS.standard.yoked,-2.1644,0.0067,**
234,CA1,Fmr1,conflict.trained.VS.standard.yoked,0.5078,0.2354, 
235,CA1,Camk2a,conflict.trained.VS.standard.yoked,0.058,0.9964, 
236,CA1,Wwc1,conflict.trained.VS.standard.yoked,0.0014,1.0, 
237,CA1,Prkcb,conflict.trained.VS.standard.yoked,-0.0998,0.9934, 
238,CA1,Prkcz,conflict.trained.VS.standard.yoked,0.1315,0.9559, 
239,CA1,Prkci,conflict.trained.VS.standard.yoked,0.0849,0.9967, 
240,CA1,Fos,conflict.yoked.VS.standard.trained,0.0771,0.9773, 
241,CA1,Fosl2,conflict.yoked.VS.standard.trained,0.3967,0.3119, 
242,CA1,Npas4,conflict.yoked.VS.standard.trained,1.149,0.3121, 
243,CA1,Arc,conflict.yoked.VS.standard.trained,0.316,0.7036, 
244,CA1,Grin1,conflict.yoked.VS.standard.trained,-0.0216,0.9916, 
245,CA1,Gria1,conflict.yoked.VS.standard.trained,0.0528,0.9125, 
246,CA1,Gria2,conflict.yoked.VS.standard.trained,-0.0564,0.9653, 
247,CA1,Pick1,conflict.yoked.VS.standard.trained,-0.0658,0.9908, 
248,CA1,Nsf,conflict.yoked.VS.standard.trained,0.0094,0.9999, 
249,CA1,Numb,conflict.yoked.VS.standard.trained,0.3585,0.655, 
250,CA1,Fmr1,conflict.yoked.VS.standard.trained,0.3821,0.1351, 
251,CA1,Camk2a,conflict.yoked.VS.standard.trained,-0.2047,0.652, 
252,CA1,Wwc1,conflict.yoked.VS.standard.trained,-0.0361,0.9968, 
253,CA1,Prkcb,conflict.yoked.VS.standard.trained,0.172,0.8915, 
254,CA1,Prkcz,conflict.yoked.VS.standard.trained,0.0312,0.9974, 
255,CA1,Prkci,conflict.yoked.VS.standard.trained,0.0055,1.0, 
256,CA1,Fos,conflict.yoked.VS.standard.yoked,0.1879,0.9251, 
257,CA1,Fosl2,conflict.yoked.VS.standard.yoked,-0.118,0.9846, 
258,CA1,Npas4,conflict.yoked.VS.standard.yoked,-0.3391,0.9849, 
259,CA1,Arc,conflict.yoked.VS.standard.yoked,0.3261,0.8899, 
260,CA1,Grin1,conflict.yoked.VS.standard.yoked,-0.1807,0.478, 
261,CA1,Gria1,conflict.yoked.VS.standard.yoked,-0.083,0.9136, 
262,CA1,Gria2,conflict.yoked.VS.standard.yoked,0.0924,0.9617, 
263,CA1,Pick1,conflict.yoked.VS.standard.yoked,0.9026,0.1224, 
264,CA1,Nsf,conflict.yoked.VS.standard.yoked,0.0661,0.9953, 
265,CA1,Numb,conflict.yoked.VS.standard.yoked,-1.6515,0.0315,*
266,CA1,Fmr1,conflict.yoked.VS.standard.yoked,0.5237,0.2153, 
267,CA1,Camk2a,conflict.yoked.VS.standard.yoked,-0.2717,0.7572, 
268,CA1,Wwc1,conflict.yoked.VS.standard.yoked,-0.1921,0.9009, 
269,CA1,Prkcb,conflict.yoked.VS.standard.yoked,-0.3456,0.8054, 
