,R,G,B,hex_val,hls_val,method2_R,method2_G,method2_B,L1_M2,gene
Scrn1,0.002621059842903331,0.00038465822503285044,0.8352963110282766,#0100d5,#0100d5,0.003137864523784813,0.00046050280056773694,0.9999949708590543,B,Scrn1
Esm1,0.00262105984290359,0.00038465822503246056,0.8352963110282772,#0100d5,#0100d5,0.0031378645237851205,0.00046050280056726987,0.9999949708590543,B,Esm1
4930444P10Rik,0.002621059842903245,0.0003846582250329154,0.8352963110282765,#0100d5,#0100d5,0.00313786452378471,0.00046050280056781473,0.9999949708590543,B,4930444P10Rik
Mettl7a1,0.0026210598429035037,0.00038465822503278544,0.8352963110282768,#0100d5,#0100d5,0.0031378645237850186,0.000460502800567659,0.9999949708590543,B,Mettl7a1
Tbc1d17,0.0025266529916710355,0.0008557827936893892,0.8361203948712035,#0100d5,#0100d5,0.003021861621191608,0.001023511019855472,0.9999949103758151,B,Tbc1d17
Slc35c2,0.002658916139683756,0.00022116961937811256,0.8348338603470377,#0100d5,#0100d5,0.0031849481516629113,0.00026492515500172565,0.9999948929469257,B,Slc35c2
Jag1,0.0026969610546325315,2.9633440762228824e-05,0.8347143415009418,#0100d5,#0100d5,0.0032309819559694472,3.550111049308288e-05,0.9999947797340102,B,Jag1
Rbm38,0.0026969610546325315,2.9633440762228824e-05,0.8347143415009418,#0100d5,#0100d5,0.0032309819559694472,3.550111049308288e-05,0.9999947797340102,B,Rbm38
Tubb4b,0.002696961054632445,2.9633440762358773e-05,0.8347143415009417,#0100d5,#0100d5,0.003230981955969344,3.550111049323856e-05,0.9999947797340102,B,Tubb4b
Vamp1,0.0027481418756824328,0.000801061612848788,0.8355241192967574,#0100d5,#0100d5,0.003289104029605107,0.0009587478005037983,0.9999941312814479,B,Vamp1
