R,G,B,hex_val,gene,hls_val
0.0,0.978,0.000978,#00f900,Gas2,#00f900
0.4,0.168,0.46,#662b75,Gata3,#823795
0.0009860000000000001,0.42397999999999997,0.559062,#006c8f,Gatad2b,#009acc
0.023976,0.974025,0.007992,#06f802,Gch1,#06f802
0.0,0.978,0.000978,#00f900,Gcm1,#00f900
0.990009,0.0,0.035963999999999996,#fc0009,Gcnt2,#fc0009
0.0,0.978,0.000978,#00f900,Gdpd5,#00f900
0.0,0.339913,0.648114,#0057a5,Gemin4,#006bcc
0.0,4.200000000000004e-05,4.400000000000004e-05,#000000,Gimap8,#00c3cc
0.008945999999999999,0.978096,0.0049700000000000005,#02f901,Gipc3,#02f901
1.000000000000001e-06,2.100000000000002e-05,2.100000000000002e-05,#000000,Glce,#09c3c3
0.0,0.0009030000000000007,0.0,#000000,Glrx3,#00cc00
0.02646,0.00196,0.95746,#0700f4,Glt28d2,#0700f4
0.28939499999999996,0.000981,0.7161299999999999,#4a00b7,Glyr1,#5200cc
0.007944,0.870861,0.111216,#02de1c,Gm10130,#02de1c
0.319,0.558,0.122,#518e1f,Gm10184,#60a725
0.0245,0.00392,0.9555,#0601f4,Gm10250,#0601f4
0.007944,0.870861,0.111216,#02de1c,Gm10696,#02de1c
0.999,0.0,0.034965,#ff0009,Gm13889,#ff0009
0.990009,0.0,0.035963999999999996,#fc0009,Gm14685,#fc0009
0.007944,0.870861,0.111216,#02de1c,Gm20425,#02de1c
0.337464,0.0,0.670023,#5600ab,Gm21830,#6700cc
0.0,0.976023,0.000977,#00f900,Gm28036,#00f900
0.0294,0.00196,0.9751,#0700f9,Gm3854,#0700f9
0.856143,0.022977,0.15084899999999998,#da0626,Gm43786,#da0626
0.0784,0.00196,0.90944,#1400e8,Gm45140,#1400e8
0.008945999999999999,0.862792,0.11928,#02dc1e,Gm4847,#02dc1e
0.0,0.87271,0.10638,#00df1b,Gm7276,#00df1b
0.992007,0.001998,0.02997,#fd0108,Gm7694,#fd0108
0.0,0.007656,0.920634,#0002eb,Gm973,#0002eb
0.0,0.0007200000000000007,5.400000000000005e-05,#000000,Gm9925,#00cc0f
0.990009,0.0,0.035963999999999996,#fc0009,Gmeb2,#fc0009
0.117,0.031,0.885,#1e08e2,Gmppb,#1e08e2
0.10976,0.00196,0.87808,#1c00e0,Gnb1l,#1c00e0
0.999,0.0,0.034965,#ff0009,Gphn,#ff0009
0.058,0.032,0.943,#0f08f0,Gpr157,#0f08f0
0.990009,0.0,0.035963999999999996,#fc0009,Gpr19,#fc0009
0.9930059999999999,0.0,0.032967,#fd0008,Gpr22,#fd0008
0.716,0.159,0.14,#b72924,Gprc5b,#b72924
0.318,0.0,0.709,#5100b5,Grasp,#5b00cc
0.0,0.0009030000000000007,0.0,#000000,Grb2,#00cc00
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Gria1,#00ccc3
0.999,0.0,0.034965,#ff0009,Gria2,#ff0009
0.0,0.003751,0.014036,#000104,Grin1,#0037cc
0.319,0.558,0.122,#518e1f,Gstm2,#60a725
0.0,0.978,0.000978,#00f900,Gstm5,#00f900
0.0,0.0009030000000000007,0.0,#000000,Gstp1,#00cc00
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Gyg,#00ccb1
0.005946,0.871089,0.11099200000000001,#02de1c,H2-DMb1,#02de1c
0.008829,0.058859999999999996,0.917235,#020fea,H2-Q10,#020fea
0.0,0.978021,0.000979,#00f900,Haghl,#00f900
0.005754,0.001918,0.916804,#0100ea,Harbi1,#0100ea
0.02646,0.00196,0.95746,#0700f4,Has2,#0700f4
0.012986999999999999,0.978021,0.004995,#03f901,Hexa,#03f901
0.5991679999999999,0.001984,0.41564799999999996,#99016a,Hilpda,#cb018d
0.0,0.976023,0.000977,#00f900,Hipk3,#00f900
0.0,0.978,0.000978,#00f900,Hist1h1d,#00f900
0.0,2.300000000000002e-05,2.000000000000002e-05,#000000,Hist1h3i,#00ccb1
0.999,0.0,0.034965,#ff0009,Hmgcr,#ff0009
0.11074,0.00196,0.8771,#1c00e0,Hmha1,#1c00e0
0.990009,0.008990999999999999,0.027972,#fc0207,Hnrnpf,#fc0207
0.002421,0.041157,0.030128000000000002,#010a08,Hnrnpul1,#0bc18d
0.999,0.0,0.034965,#ff0009,Homer1,#ff0009
0.9930059999999999,0.0,0.032967,#fd0008,Hpn,#fd0008
0.007944,0.870861,0.111216,#02de1c,Hpx,#02de1c
0.01755,0.3978,0.572325,#046592,Hras,#068ac6
0.217,0.001,0.817,#3700d0,Hrh2,#3700d0
0.07592399999999999,0.908091,0.011988,#13e803,Hrh3,#13e803
0.0,0.00013600000000000013,0.0005440000000000005,#000000,Hs6st1,#0033cc
0.0,0.0008400000000000008,2.000000000000002e-05,#000000,Hspa1a,#00cc05
0.0,0.0009030000000000007,0.0,#000000,Hspa1b,#00cc00
0.0,4.200000000000004e-05,4.400000000000004e-05,#000000,Hspb3,#00c3cc
0.990009,0.0,0.035963999999999996,#fc0009,Hsph1,#fc0009
0.0,0.978021,0.000979,#00f900,Htr5b,#00f900
0.999,0.0,0.034965,#ff0009,Ier3,#ff0009
0.999,0.0,0.034965,#ff0009,Ifrd1,#ff0009
0.14715,0.322749,0.523854,#265286,Igf2r,#2d629f
0.007944,0.870861,0.111216,#02de1c,Ighv5-17,#02de1c
0.0,0.978096,0.012922,#00f903,Ikbip,#00f903
0.0,0.97804,0.00196,#00f900,Ikzf1,#00f900
0.340118,0.000983,0.6674570000000001,#5700aa,Il16,#6800cc
0.0,2.200000000000002e-05,2.100000000000002e-05,#000000,Il34,#00ccc3
