R,G,B,hex_val,hls_val,gene
0.0,0.04029600000000003,0.011730000000000011,#000a03,#00cc3b,Syt5
1.0,0.0,0.0,#ff0000,#ff0000,Tada2b
0.0,0.03858800000000003,0.01130800000000001,#000a03,#00cc3c,Tax1bp1
0.0,0.116765,0.021779999999999997,#001e06,#00cc26,Tbc1d17
1.0,0.0,0.0,#ff0000,#ff0000,Tbcel
0.0,0.19050199999999998,0.04066399999999999,#00310a,#00cc2c,Tceb2
0.0,0.27129600000000004,0.30412800000000006,#00454e,#00b6cc,Tcta
1.0,0.0,0.0,#ff0000,#ff0000,Tdrp
0.0,0.16717800000000005,0.02805000000000001,#002b07,#00cc22,Tes
0.385398,0.14036099999999999,0.281515,#622448,#96366d,Tgfb3
1.0,0.0,0.0,#ff0000,#ff0000,Tgs1
0.0,0.258336,0.17181000000000002,#00422c,#00cc88,Thap4
0.0,0.1714,0.605042,#002c9a,#003acc,Thoc7
1.0,0.0,0.0,#ff0000,#ff0000,Tiparp
0.0,0.08695499999999998,0.020273999999999993,#001605,#00cc30,Tlr13
0.0,0.10363199999999999,0.037337999999999996,#001a0a,#00cc4a,Tmed2
