,gene,MIC,KLD,MWU,MIC_log,KLD_log,MWU_log
617,Agap1,0.0,0.05544601577112722,0.5612758361345778,-inf,-2.892345420407011,0.5775428077832481
618,Agap2,0.0,0.06047299998134754,0.3329216080655659,-inf,-2.8055582948585194,1.0998482279297794
619,Agap3,0.30717457146028493,0.48948889794667744,0.1065831695748876,-1.1803390563290603,-0.7143934976637148,2.2388296636282443
620,Agbl1,0.0,0.3317061210777986,0.39077080868929415,-inf,-1.1035058795430852,0.9396340578948847
621,Agbl2,0.011086136086135623,0.15501173439709467,0.746885633390364,-4.502059952565043,-1.8642544591407213,0.2918432067882265
622,Agbl3,0.0,0.18731167411772517,0.8464505968765906,-inf,-1.6749813430295555,0.16670344074632326
623,Agbl4,0.0,0.1789770243033153,0.7458042532435456,-inf,-1.7204978372270994,0.2932921083258885
624,Agbl5,0.0,0.1326733259851566,0.5612758361345778,-inf,-2.0198653677575646,0.5775428077832481
625,Ager,0.0,0.1959843018444775,0.32204986990774864,-inf,-1.6297207155894227,1.1330488699397967
626,Agfg1,0.0,0.10246175997384273,0.9485325168506443,-inf,-2.2782656234388026,0.052839207800764176
627,Agfg2,0.01567797282082939,0.09766561064553855,0.40138716571176614,-4.155498556803702,-2.3262057711946533,0.9128288169433143
628,Aggf1,0.1257119864262719,0.10427345772765442,0.06121463495460199,-2.0737618105234774,-2.2607384294409756,2.793368984806523
629,Agk,0.0,0.13939247419724027,0.9485325168506443,-inf,-1.970461769220385,0.052839207800764176
630,Agl,0.15657933336504737,0.10835459098581042,0.17524424540000594,-1.854192474983348,-2.2223461800856112,1.7415745901257922
631,Agmo,0.0,0.2989655666947075,0.6051797630895014,-inf,-1.207426873779214,0.5022297360118406
632,Ago1,0.0,0.09224322872891341,0.6513784464763926,-inf,-2.3833264000681003,0.42866447468804925
633,Ago2,0.0,0.07276983935835814,0.17524424540000594,-inf,-2.620453704151233,1.7415745901257922
634,Ago3,0.079113346970489,0.09298761096815847,0.5612758361345778,-2.536873683038334,-2.3752890100989856,0.5775428077832481
635,Ago4,0.0,0.10176805622488225,0.5612758361345778,-inf,-2.285059013647421,0.5775428077832481
