"","143B-CA1-1","143C-CA1-1","143D-CA1-3","144A-CA1-2","144B-CA1-1","144C-CA1-2","145A-CA1-2","145B-CA1-1","146A-CA1-2","146B-CA1-2","146C-CA1-4","147C-CA1-3","148A-CA1-3"
"Atp1a1",10.0971257123496,10.3271759401277,10.4694633011249,10.2322800365748,10.1831457598332,10.4583242937692,10.1726873062407,10.1341939026857,10.1002007092114,10.3712758839007,10.2896825762602,10.2083426882961,10.3977755520769
"Atp1a2",10.479132066533,10.1135935733106,9.80652143475253,10.269575957282,10.6211283551897,10.3423246121607,10.6700609179475,11.2101937923085,10.6025610751598,10.0387631754105,10.3778712422522,10.5510768146412,10.0960744995768
"Atp1a3",12.975918317377,13.0795471678003,12.679342880516,12.8641214516957,12.7262427530927,13.0810350635606,12.9819896764885,12.8980963048925,12.6793620477353,13.008754232472,12.7107127376037,12.8794195847808,12.9635304880151
"Atp1b1",12.1504420759088,12.1604102953457,12.1623080036261,12.2901591605131,12.2097763067799,12.1584854813618,12.1270421257493,12.1064521909943,12.206771370704,12.0627311320991,11.6553153213036,11.9491045212199,12.0694160163467
"Atp1b2",10.0082339157873,9.82667364322043,9.77666716416574,9.68302810089639,9.99236961982626,9.86185168043483,10.2946248120619,10.4978914550647,9.81345161778582,9.50786871578623,9.94075559818498,9.95258918339979,9.76806368506639
"Atp1b3",7.97499596919789,7.77816503882383,8.13596084019482,8.16843880995905,8.09181232612882,8.24807856396816,8.13060466636795,7.960415673847,8.06292396625856,7.56997181074718,8.08023164674987,8.10762536241182,7.86816932523143
"Atp2a1",6.46717283788519,6.60363531755226,6.19555391767952,6.19555391767952,6.46559133277859,6.5818692862213,6.50263220233945,6.19555391767952,6.19555391767952,6.19555391767952,6.91119382568862,6.43916224517297,6.19555391767952
"Atp2a2",11.230840683907,11.3384053565015,10.9772709826611,11.1061240627847,11.1677704646167,11.402624692365,11.2699527745297,11.0128186734707,10.948224330775,11.5652518371666,11.3214201854544,11.2870392963809,11.3119302663625
"Atp2a3",6.66463780650129,6.77077627731591,6.19555391767952,6.64384436997908,6.60724698327861,6.62714796719549,6.9829470465181,6.19555391767952,6.82041072519794,6.44365445092835,7.00071729081291,6.68105542914854,6.69857916866961
"Atp2b1",12.3425798191443,12.6654667223745,12.2826626519183,11.9751056272341,12.3765233016115,12.3816371352723,12.4753818288301,12.4489821180289,12.0847098675176,12.8968808940311,12.6003469368223,12.4895891731903,12.5877987829014
