tissue,gene,lfc,padj,logpadj,comparison,direction
DG,Eif2ak4,0.39388309519112,0.5730315602479013,0.2418214582000506,yoked vs. trained,NS
DG,Eif2b1,-0.33792783419170264,0.764304789774023,0.11673341875349297,yoked vs. trained,NS
DG,Eif2b2,-0.24319733917569536,0.8339157777724903,0.07887780918921372,yoked vs. trained,NS
DG,Eif2b3,0.028088259388660716,0.9929983556024009,0.003051470692327441,yoked vs. trained,NS
DG,Eif2b4,-0.1999646060442884,0.8541663174864285,0.06845755819389852,yoked vs. trained,NS
DG,Eif2b5,0.16975889471481778,0.8405030025746841,0.07546073076789195,yoked vs. trained,NS
DG,Eif2d,-0.20700172307948306,0.8019799387274268,0.0958364953180158,yoked vs. trained,NS
DG,Eif2s1,-0.32041291987912063,0.5956134838179173,0.2250354790168545,yoked vs. trained,NS
DG,Eif2s2,0.07107346275437944,0.9361975226883265,0.028632512411966182,yoked vs. trained,NS
DG,Eif2s3x,0.15614918397909683,0.7476041615320902,0.12632828979000493,yoked vs. trained,NS
DG,Eif2s3y,-0.08981327582107732,0.927703172823752,0.032590958075922445,yoked vs. trained,NS
DG,Eif3a,0.22044882604309765,0.4603914830319903,0.33687271915697736,yoked vs. trained,NS
DG,Eif3b,-0.14970418332516133,0.7751956102594346,0.11058869525231478,yoked vs. trained,NS
DG,Eif3c,0.11902423252013522,0.806122557131039,0.09359892613600017,yoked vs. trained,NS
DG,Eif3d,0.1332224119617654,0.8788110545712876,0.05610448872340445,yoked vs. trained,NS
DG,Eif3e,-0.17767603990419042,0.7089301338967315,0.14939656306548008,yoked vs. trained,NS
DG,Eif3f,-0.011392830541093123,0.9909994265818313,0.00392659680878981,yoked vs. trained,NS
DG,Eif3g,-0.16036103614757619,0.8491823884804298,0.07099902141263348,yoked vs. trained,NS
DG,Eif3h,-0.004018011186367038,0.9958776894695571,0.0017939969681253594,yoked vs. trained,NS
DG,Eif3i,0.054325854307394165,0.9534026869541358,0.02072362844452336,yoked vs. trained,NS
DG,Eif3j1,-0.036880562948151535,0.9782270413389046,0.009560336053738292,yoked vs. trained,NS
DG,Eif3j2,0.665070455836443,0.8252558510549175,0.08341138784362984,yoked vs. trained,NS
DG,Eif3k,0.08690959228772752,0.9291408130516501,0.03191846286636895,yoked vs. trained,NS
DG,Eif3l,-0.05100460437302838,0.9470046542120993,0.023647886578917355,yoked vs. trained,NS
DG,Eif3m,-0.23433268465007095,0.769169164229884,0.11397813482518518,yoked vs. trained,NS
DG,Eif4a1,0.18027837415923892,0.7278666680759623,0.13794816824485767,yoked vs. trained,NS
DG,Eif4a2,-0.04883564645775501,0.9183601190817353,0.036986984308909475,yoked vs. trained,NS
DG,Eif4a3,-2.9407721154652163e-4,0.9997288294435409,1.1778384680230833e-4,yoked vs. trained,NS
DG,Eif4b,0.05228204593230778,0.9050300224606267,0.043337013753120324,yoked vs. trained,NS
DG,Eif4e,-0.005209840502142687,0.9958498188947035,0.0018061512782068048,yoked vs. trained,NS
DG,Eif4e2,-0.29921789241827157,0.6975573051097306,0.15642010881328464,yoked vs. trained,NS
DG,Eif4e3,-0.3397121716418726,0.8440067660155456,0.07365407182050868,yoked vs. trained,NS
DG,Eif4ebp1,-0.22122276441902994,0.9050300224606267,0.043337013753120324,yoked vs. trained,NS
DG,Eif4ebp2,-0.016214377212360544,0.9901294674011267,0.004308014188641613,yoked vs. trained,NS
DG,Eif4enif1,0.1146563403588645,0.9116154529246441,0.04018832164104632,yoked vs. trained,NS
DG,Eif4g1,0.12827684502339878,0.6866193422402264,0.1632839665527409,yoked vs. trained,NS
DG,Eif4g2,0.051374704922262135,0.8997043667279243,0.045900171661258045,yoked vs. trained,NS
DG,Eif4g3,0.06468700153622113,0.9050300224606267,0.043337013753120324,yoked vs. trained,NS
DG,Eif4h,0.07137938921626863,0.8934440881090813,0.04893262053435928,yoked vs. trained,NS
DG,Eif5,0.35042769458617845,0.06451631750608522,1.1903304294484263,yoked vs. trained,trained
DG,Eif5a,0.016410834556854582,0.9864166420437125,0.005939609276494641,yoked vs. trained,NS
DG,Eif5a2,-0.1635058301391994,0.8836481325081113,0.05372063604036225,yoked vs. trained,NS
DG,Eif5b,-0.007047648685479564,0.994407692453697,0.0024355247754309973,yoked vs. trained,NS
DG,Eif6,0.06362403967994837,0.9599048237677431,0.01777182587876927,yoked vs. trained,NS
DG,Elac1,-0.17745201502075578,0.8733134936567165,0.0588298294609256,yoked vs. trained,NS
DG,Elac2,0.10296741025471631,0.9258467764102541,0.03346088120748671,yoked vs. trained,NS
DG,Elavl1,0.21949838786517867,0.5625175149252255,0.24986395051979549,yoked vs. trained,NS
DG,Elavl2,-1.0662480922645412,0.33858090204909347,0.47033754229503666,yoked vs. trained,NS
DG,Elavl3,-0.013870908751223059,0.987258926309707,0.005568930896534336,yoked vs. trained,NS
DG,Elf1,0.8011933074128783,0.463731256283176,0.3337336309236308,yoked vs. trained,NS
DG,Elf2,0.1298155620281903,0.8959597085281656,0.04771152020096837,yoked vs. trained,NS
DG,Elfn2,0.07447792696375152,0.9144392053127834,0.03884516243998279,yoked vs. trained,NS
DG,Elk1,-0.056718946067320454,0.9227965241399537,0.034894049987182686,yoked vs. trained,NS
DG,Elk3,0.3233093890289362,0.8202058252111176,0.08607715062027196,yoked vs. trained,NS
DG,Elk4,0.07673532132506122,0.9365770488971441,0.02845648894071194,yoked vs. trained,NS
DG,Ell,0.2872206446376538,0.6862839090597674,0.16349618366575497,yoked vs. trained,NS
DG,Ell2,-0.16459253757546674,0.9258467764102541,0.03346088120748671,yoked vs. trained,NS
DG,Elmo1,-0.10336249600313305,0.9482365076096675,0.02308332812673506,yoked vs. trained,NS
DG,Elmo2,-0.015462025743816723,0.9836939793579046,0.0071399866770912625,yoked vs. trained,NS
DG,Elmod1,-5.142550609998724e-4,0.9992982439210116,3.0487577947853036e-4,yoked vs. trained,NS
DG,Elmod2,-0.413601104868972,0.7471682780080733,0.1265815749183513,yoked vs. trained,NS
DG,Elmod3,-0.12335512666025945,0.9259636149377617,0.03340607826645708,yoked vs. trained,NS
DG,Elmsan1,-0.11333932801650087,0.9123695905205217,0.039829198284936536,yoked vs. trained,NS
DG,Eln,1.735370260600528,0.6819423417104264,0.16625234343085796,yoked vs. trained,NS
