"","143A-DG-1","143B-DG-1","143D-DG-3","144A-DG-2","144C-DG-2","144D-DG-2","145A-DG-2","145B-DG-1","146A-DG-2","146C-DG-4","147C-DG-3","147D-DG-1","148A-DG-3","148B-DG-4"
"Asah1",7.37111031643145,7.14216822880129,7.29497701259304,7.23132078887274,7.16659243544836,7.21677744143879,7.1893444821984,7.44601918017853,7.34937525458885,7.69001879292195,7.23189314138107,7.24426305784928,7.3992401905558,7.44262794729775
"Asah2",6.48437393507758,6.09223215369625,6.4378967738278,6.53399113357705,6.36295265533239,6.12432013237878,6.51135915942339,5.90418219343334,6.40380856788695,5.90418219343334,6.37694129771035,6.08159457403198,6.23790981881489,6.44864432228325
"Asap1",7.53050383493001,7.28413189486429,7.31703012120103,7.13606022823688,7.64033154756417,7.25384435909677,7.22527047464518,7.1273301619328,7.21105671282765,7.06262690709072,7.41471967634876,7.35304463059434,7.67753922971282,7.8886579891408
"Asap2",7.28199123161977,7.26176926865544,7.2724625558378,7.12693968170143,6.84638398888735,6.98762098118303,6.89247316459068,7.00862828811604,7.09964072623615,7.12189081631675,7.11758447960768,6.9409402888353,7.25962212713085,7.29837004662933
"Asap3",6.2257559910495,6.67102190486188,6.36704507891611,6.12839992932852,6.39936707797124,6.24001600156615,5.90418219343334,6.61273489982679,6.2583495065361,5.90418219343334,6.39462059524814,6.14208624041773,6.47968173242639,5.90418219343334
"Asb1",7.70976533911494,7.44823866109895,7.65428567461025,7.60034060454259,7.77061521326864,7.54873506312391,7.76190966723761,8.00931578921541,7.76519647989922,6.77761982513323,7.44791878509474,7.66770045399962,7.74587649012785,7.35834781326697
"Asb10",5.90418219343334,5.90418219343334,5.90418219343334,6.32260936009822,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.98356341014031,5.90418219343334,5.90418219343334
"Asb11",6.82404816373417,6.62547638020749,6.55602157261725,6.86467150486489,6.55030524740054,6.50985044727678,6.91715320647782,6.7392961286247,6.60731699833924,7.17781215619968,6.81112478092576,6.14208624041773,6.43011211634014,6.34960526491837
"Asb13",7.59915881961618,7.566024046098,7.47920691145924,7.62392610324845,7.52133768379237,7.52450366388457,7.41863317678282,7.08935892429834,7.45544204886399,8.02155617089768,7.31403822170639,7.27648320799047,7.58296945369211,7.66381398987837
"Asb14",6.11495025076103,6.09223215369625,5.90418219343334,5.90418219343334,5.90418219343334,6.03136104400808,5.90418219343334,6.22359813918659,5.90418219343334,5.90418219343334,6.29807929850715,6.17878675966233,5.90418219343334,5.90418219343334
"Asb16",5.90418219343334,6.09223215369625,6.28264499205789,6.47271700052951,5.90418219343334,6.12432013237878,5.90418219343334,6.13027353638698,5.90418219343334,5.90418219343334,6.09031522737407,6.17878675966233,6.33438824088025,5.90418219343334
"Asb17",5.90418219343334,6.16993740736766,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.2583495065361,5.90418219343334,6.09031522737407,5.90418219343334,5.90418219343334,5.90418219343334
"Asb18",6.45889478947941,6.73426521827553,6.60727465729643,6.7031744047148,6.60112534362871,6.67907104308682,6.30333856231022,6.45520219334268,6.68842297068591,6.29954994557385,6.39462059524814,6.43377624013746,6.3124615145274,6.21976674361794
"Asb2",6.07632453737222,5.90418219343334,5.90418219343334,6.25816981548591,6.09213164185919,6.08398210769514,6.55261108513661,6.22359813918659,6.15492990143128,6.29954994557385,6.13206882281993,6.20071471928582,6.17687149431508,5.90418219343334
"Asb3",7.32299910570126,7.15477607507105,7.07225457124577,6.94602457562322,7.07601682664183,6.9529137900913,6.96452599338649,7.16390552056935,7.02620693544111,7.12189081631675,7.02405148514657,7.18969963488709,6.82461594414955,6.9311269779904
"Asb4",6.02594129388802,5.90418219343334,5.90418219343334,6.32260936009822,6.09213164185919,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.42812701447633,5.90418219343334,6.17687149431508,5.90418219343334
"Asb5",5.90418219343334,6.16993740736766,5.90418219343334,5.90418219343334,5.90418219343334,6.12432013237878,6.13512431542989,5.90418219343334,6.2583495065361,5.90418219343334,5.90418219343334,5.90418219343334,6.09714593865057,5.90418219343334
"Asb6",7.61311942215584,7.09007789349907,7.94329314938339,7.33376188242422,7.5907878953422,7.46591881285544,7.35790212618854,7.48675848508805,7.1456950366709,7.32947232500784,7.2030268292781,7.4435344115675,7.07753175714061,7.77108412499101
"Asb7",7.18476151775526,7.21557352518549,6.8891338620731,7.19769470030896,7.31612452177684,7.16708858598396,7.15211556031116,6.82178935863812,7.18973002010122,6.85818785997731,7.22044248547455,7.20891295159673,7.27147849801886,6.88513304649018
"Asb8",7.14315518964843,7.36922353715709,7.22594986280491,7.44795300469522,7.27232692162154,7.24862844276133,7.62138517497853,7.67155315009655,7.16795104656977,7.41992504833221,7.18531267452614,7.44182826818279,6.89713222786914,7.5461001707131
"Ascc1",6.98185435731677,6.77362231858376,6.60727465729643,6.97871624718953,6.62509814641257,6.93864740921878,6.98730722738602,7.10852744094331,7.00040915235437,6.99946010811265,6.89618632842537,6.75073227121564,6.55354650273797,6.7848343199629
"Ascc2",7.62003903952056,7.78595909060821,8.24194616323314,7.58837066432469,7.6722616825679,7.66297235598505,7.5311322194608,7.56417277042492,7.84092883317111,8.14792120373717,7.86851867112393,7.63485150282911,8.04081194023296,8.06329832048691
"Ascc3",7.38809841845634,7.32750767032294,6.98527517213845,7.71390904850013,7.4282505215167,7.29967141347752,7.38868079266017,7.5516209111438,7.25244209628763,6.99946010811265,7.61316913599189,6.96844369918852,7.45550880256625,7.05647339118657
"Ascl1",6.71935054147704,6.64862789936794,6.4378967738278,6.37816410160844,6.43319087896101,6.44083179035553,6.55261108513661,6.61273489982679,6.51459614637335,5.90418219343334,6.50342356544495,6.58538473249675,6.17687149431508,6.6043663146017
"Ascl2",5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.09714593865057,5.90418219343334
"Ascl4",6.2257559910495,5.90418219343334,5.90418219343334,6.12839992932852,6.16979556208309,6.24001600156615,5.90418219343334,6.13027353638698,5.90418219343334,5.90418219343334,6.19817954709834,6.28383276368293,6.43011211634014,5.90418219343334
"Asf1a",6.81647118316993,6.93018297589614,6.92235742458998,6.73254674120217,6.67062084386136,6.80678592646472,6.89247316459068,6.67884728955395,7.02620693544111,6.58479496152129,6.70573094861579,6.78175414239274,7.11941574012519,6.72950585164572
"Asf1b",6.26859834403969,6.16993740736766,5.90418219343334,6.06280777261754,5.90418219343334,6.12432013237878,6.36460334230246,6.49875914573578,5.90418219343334,5.90418219343334,5.90418219343334,6.24941623374009,6.26451612421614,5.90418219343334
"Asgr1",5.90418219343334,6.09223215369625,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.46159435657705,6.16723212934916,5.90418219343334,6.26451612421614,5.90418219343334
"Ash1l",9.08819552568866,8.92892040737791,8.85258318634508,9.32594265500008,9.44679967239853,9.46760477828994,9.51483097139625,9.14440038553636,9.06517430744865,8.55955952926297,9.26812850570314,9.27861579250305,9.36264596788341,9.12749736383456
"Ash2l",7.40897628942489,7.86265040288732,7.4979384944416,7.42740907420336,7.84128952216766,7.63727575601544,7.69367055382754,7.77019223478964,7.71201312438991,7.96736247929677,7.71430087864749,7.7677551321825,7.55582168867435,7.52108510545275
"Asic1",7.53050383493001,7.19168515433514,7.15203192460649,7.23956063218947,7.16659243544836,7.61101836042121,7.34218534012816,7.40376714865035,7.48869927863281,7.50365529798396,7.32973991174742,7.65921688521785,7.48506753120711,7.83124653412086
"Asic2",8.21753173830821,8.03332787035031,8.44211104350269,7.95022727699586,8.09023887159528,7.97021212183525,8.10822996700935,7.93756874458966,8.13508278894779,8.12360383729625,8.10842825231748,8.07417507053547,8.06841131032641,8.01334189771022
"Asic3",6.45889478947941,6.36319629307886,5.90418219343334,6.25816981548591,6.22926229054567,6.48328202832469,6.23043685130819,6.22359813918659,6.15492990143128,5.90418219343334,6.03584373274964,6.22110946915233,5.90418219343334,5.90418219343334
"Asic4",6.48437393507758,7.2036983310039,6.8891338620731,6.45068084924699,6.71336581321501,6.9529137900913,6.78579103692608,6.76777527143972,6.56270199404727,6.29954994557385,6.65237002279121,7.14341275955167,6.92280784259819,6.72950585164572
"Asl",6.72793268686797,6.94592665682318,6.95436796797982,6.40355631976903,6.69231142917984,6.6485421872243,6.41840957853921,6.35499142579098,6.68842297068591,6.46159435657705,6.73595209800567,6.68840369612413,6.6439534749438,6.88513304649018
"Asmt",5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,5.90418219343334,6.30333856231022,5.90418219343334,5.90418219343334,5.90418219343334,6.27567927972883,5.90418219343334,5.90418219343334,5.90418219343334
"Asna1",7.78735730455223,7.86939595954877,7.86336751251182,7.46813292092753,7.69566946646981,7.81960538849207,7.58354395326928,7.34483032573424,7.77814225902514,7.69001879292195,7.67639573815306,7.908838371024,7.58743416219366,8.39404044530851
"Asns",7.7661177721581,7.77874819696895,7.96886116279049,7.71931815878157,7.99635134855363,7.93273494654809,7.76190966723761,7.43210980327163,7.68453155755242,7.96736247929677,7.64914104639443,7.87591381810046,7.45050729027892,8.03020827150397
