,hls_val,gene,candy,top
Ptger4,#66ffeb,Ptger4,X,X
Ptgs2,#ff666b,Ptgs2,X,X
Ptpn22,#66ff68,Ptpn22,X,G
Pxn,#7d66ff,Pxn,X,X
Rab11fip2,#66ffeb,Rab11fip2,X,X
Rab2a,#66ff66,Rab2a,X,X
Rab39b,#ff666c,Rab39b,X,X
Rab3b,#66ff6a,Rab3b,X,X
Raf1,#ff66b7,Raf1,X,X
Ranbp2,#ff666b,Ranbp2,X,X
Rasd1,#ff666b,Rasd1,X,X
Rasl11a,#b29ec7,Rasl11a,X,X
Rbbp5,#e87d7f,Rbbp5,X,X
Rbbp8,#66ff68,Rbbp8,X,G
Rbm38,#66ff8e,Rbm38,X,X
Rbp4,#ff666c,Rbp4,X,X
Rbsn,#66ffeb,Rbsn,X,X
Rdh16,#ff6687,Rdh16,X,X
Rfc5,#66ff66,Rfc5,X,X
Rfx2,#ff666b,Rfx2,X,X
Rfx7,#ff666b,Rfx7,X,X
Rgmb,#ff666c,Rgmb,X,X
Rgs2,#ff666b,Rgs2,X,X
Rgs4,#ff666b,Rgs4,X,X
Ripk3,#aee481,Ripk3,X,X
Rnf128,#ff66cd,Rnf128,X,X
Rnf138rt1,#66ffeb,Rnf138rt1,X,X
Rnf149,#c2aca3,Rnf149,X,X
Rnft1,#d9e085,Rnft1,X,X
Rnpc3,#ff666c,Rnpc3,X,X
Rom1,#66ff66,Rom1,X,X
Rora,#ff666b,Rora,X,X
Rorb,#67fe67,Rorb,X,G
Rpl21-ps4,#aee481,Rpl21-ps4,X,X
Rpl36a,#66ff66,Rpl36a,X,X
Rpp21,#66ff66,Rpp21,X,X
Rsbn1l,#66fff6,Rsbn1l,X,X
Rsrc1,#9a66ff,Rsrc1,X,X
Rundc1,#66ffeb,Rundc1,X,X
Samd11,#6a66ff,Samd11,X,B
Samm50,#66ff66,Samm50,X,X
Sbds,#ff6667,Sbds,X,X
Scd3,#66d8ff,Scd3,X,X
Scg2,#ff666c,Scg2,X,X
Scg3,#e0b685,Scg3,X,X
Scrn1,#66ff66,Scrn1,X,X
Sdcbp,#ff666c,Sdcbp,X,X
Sebox,#66ff66,Sebox,X,X
Sec61b,#f167fe,Sec61b,X,X
Serp1,#66f8ff,Serp1,X,X
Sf3b1,#6afe67,Sf3b1,X,X
Sgk1,#ff666c,Sgk1,X,X
Sgpl1,#66ff66,Sgpl1,X,X
Sh2d3c,#ff666c,Sh2d3c,X,X
Shc4,#fb66ff,Shc4,X,X
Shmt2,#66fff8,Shmt2,X,X
Siah2,#ff666b,Siah2,X,X
Sik1,#ff666b,Sik1,X,X
Slc14a1,#69fe67,Slc14a1,X,X
Slc16a1,#ff666b,Slc16a1,X,X
Slc18a2,#ff666b,Slc18a2,X,X
Slc18b1,#66ff66,Slc18b1,X,X
Slc20a2,#66ff6d,Slc20a2,X,X
Slc23a4,#6666ff,Slc23a4,X,X
Slc25a25,#ff666c,Slc25a25,X,X
Slc2a3,#ff666c,Slc2a3,X,X
Slc2a5,#66b7ff,Slc2a5,X,X
Slc35c2,#66ff66,Slc35c2,X,X
Slc36a4,#6bccfa,Slc36a4,X,X
Slc5a10,#aee481,Slc5a10,X,X
Slc6a6,#fe8e67,Slc6a6,X,X
Slc7a15,#6770fe,Slc7a15,X,X
Slco2a1,#66f8ff,Slco2a1,X,X
Smad7,#ff666b,Smad7,X,X
Smc1b,#66ff6d,Smc1b,X,X
Smg9,#ff66d5,Smg9,X,X
Smndc1,#ff666b,Smndc1,X,X
Snrpd2,#66ff6a,Snrpd2,X,X
Snx18,#ff666b,Snx18,X,X
Snx4,#66ffdf,Snx4,X,X
Sorcs2,#66ff94,Sorcs2,X,X
Sos1,#fb66ff,Sos1,X,X
Sowahc,#66ff66,Sowahc,X,X
Spata2l,#ff66b0,Spata2l,X,X
Spcs3,#f567fe,Spcs3,X,X
Specc1l,#ff6674,Specc1l,X,X
Spin2c,#66ffeb,Spin2c,X,X
Sptlc2,#66fff8,Sptlc2,X,X
Spty2d1,#ff666c,Spty2d1,X,X
Srek1ip1,#ff66e0,Srek1ip1,X,X
Srf,#ff666b,Srf,X,X
Srgap1,#6669ff,Srgap1,X,X
Ssna1,#67fe68,Ssna1,X,X
Ssxb2,#68fd79,Ssxb2,X,X
Stard3nl,#66ff66,Stard3nl,X,X
Stmn4,#ff666b,Stmn4,X,X
Stx2,#ff666b,Stx2,X,X
Sumf2,#66ff66,Sumf2,X,X
Suv39h1,#66ffeb,Suv39h1,X,X
Syt4,#ff666b,Syt4,X,X
Syt5,#66fff8,Syt5,X,X
Tada2b,#ff66de,Tada2b,X,X
Tax1bp1,#ff666b,Tax1bp1,X,X
Tbc1d17,#66ff66,Tbc1d17,X,X
Tbcel,#ff666c,Tbcel,X,X
Tceb2,#66ff66,Tceb2,X,X
Tcta,#66ff66,Tcta,X,X
Tdrp,#ff666b,Tdrp,X,X
Tes,#66ffeb,Tes,X,X
Tgfb3,#ff666b,Tgfb3,X,X
Tgs1,#66ff7d,Tgs1,X,X
Thap4,#6666ff,Thap4,X,X
Thoc7,#6669ff,Thoc7,X,X
Tiparp,#ff666b,Tiparp,X,X
Tlr13,#66ff66,Tlr13,X,X
Tmed2,#66ff66,Tmed2,X,X
