,R,G,B,hex_val,hls_val
Tbc1d17,0.03543659814149265,0.9175634928090219,0.7090550978425716,#09eab5,#09eab5
Tbcel,0.8726001575799799,0.764753387552664,0.10229689763179652,#dfc31a,#dfc31a
Tceb2,0.15913372681728852,0.354734416747056,0.16443208041035481,#295a2a,#3f8d41
Tcta,0.8328572444618261,0.8001919034660385,0.09733524855668582,#d4cc19,#d4cc19
Tdrp,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
Tes,0.12586281397731405,0.39687601656919663,0.19162825344524761,#206531,#319b4b
Tgfb3,0.7864899388113575,0.33325839822508857,0.9071371142541598,#c955e7,#c955e7
Tgs1,0.18493407598437467,0.9938200210712891,0.45278912134316074,#2ffd73,#2ffd73
Thap4,0.6064849376234167,0.2275580663517367,0.9258248733080747,#9b3aec,#9b3aec
Thoc7,0.1817795355171378,0.3802570635154347,0.4482889488888662,#2e6172,#3b7b91
Tiparp,0.9104556968720118,0.8866904269582997,0.1579455778584212,#e8e228,#e8e228
Tlr13,0.09284900272592743,0.7328875775468046,0.6157554104564751,#18bb9d,#18bb9d
Tmed2,0.18167995927171965,0.5536812265596545,0.5376422970905788,#2e8d89,#329a95
Tmem119,0.25611985176023694,0.05348021030644837,0.21068110266892973,#410e36,#a9238b
Tmem151b,0.6681856228099302,0.20933135027320343,1.0,#aa35ff,#aa35ff
Tmem167,0.3517434363848897,0.610296940666663,0.3722755823260822,#5a9c5f,#5a9c5f
Tmem201,0.19690668713291307,0.17301286622045214,0.15536194393437378,#322c28,#72645a
Tmem253,0.22836427045454763,0.06861172035320003,0.17331986032900729,#3a112c,#9d2f77
Tmem39a,0.9999999999999999,0.7952685942554011,0.32862381448688616,#ffcb54,#ffcb54
Tmem47,0.19666104444502647,0.9986992773001134,0.4504768275914956,#32ff73,#32ff73
Tmem50a,0.018468674644546556,0.8294859576500119,0.46387909389711246,#05d476,#05d476
Tmem8b,0.9999999999999999,0.7952685942554011,0.32862381448688616,#ffcb54,#ffcb54
Tmprss9,0.26887045933172665,0.02626080442273971,0.1616109577136904,#450729,#ba1270
Tmx4,0.17056914563913708,0.28191731060453296,0.2176510204811806,#2b4838,#4d7f62
Tnfrsf23,0.4295162671850896,0.08151612533116807,0.5088251266669948,#6e1582,#941cb0
Tnip2,0.6681856228099301,0.20933135027320313,1.0,#aa35ff,#aa35ff
Toe1,0.9279026263438203,0.4611464321550517,0.8450251594181392,#ed76d7,#ed76d7
Tox4,0.03543659814149265,0.9175634928090219,0.7090550978425716,#09eab5,#09eab5
Tra2b,0.9999999999999999,0.7952685942554011,0.32862381448688616,#ffcb54,#ffcb54
Traip,0.06236776619098996,0.8787722292265395,0.7381310667019076,#10e0bc,#10e0bc
Trappc6b,0.8172806039090451,0.31235842595696134,0.9787812083737549,#d050fa,#d050fa
Trhr,0.005384545989551628,0.9485315906856151,0.6292427487955131,#01f2a0,#01f2a0
Trib1,0.9104556968720118,0.8866904269582997,0.1579455778584212,#e8e228,#e8e228
Trim11,0.47709960039183164,0.14704018981106468,0.5128915848456038,#7a2583,#932d9f
Trp53inp2,0.9279026263438203,0.4611464321550517,0.8450251594181392,#ed76d7,#ed76d7
Tsen54,0.9279026263438203,0.4611464321550517,0.8450251594181392,#ed76d7,#ed76d7
Tspan33,0.2290802054908782,0.2026665126686339,0.09162083052523673,#3a3417,#92813a
Tuba1b,0.070020564688464,0.8761500795392874,0.5050545094096611,#12df81,#12df81
Tubb2a,0.02361857318903363,0.7973980406723102,0.45341286264265485,#06cb74,#06cb74
Tubb3,0.48073874438824127,0.6617813978565287,0.2600438373375557,#7ba942,#7ba942
Tubb4a,0.2426785860728331,0.15412062657002853,0.3009140940653121,#3e274d,#6d4587
Tubb4b,0.0030925711458012098,0.9892953504776804,0.6127828166694986,#01fc9c,#01fc9c
Txnip,0.8524802205482179,0.34597470168472133,0.9240528589371472,#d958ec,#d958ec
U2af1l4,0.9652984637343518,0.8437163812504397,0.1675246036923311,#f6d72b,#f6d72b
Uba3,0.17754048452400822,0.45790844320985313,0.5032682343035734,#2d7580,#358997
Ubc,0.9104556968720118,0.8866904269582997,0.1579455778584212,#e8e228,#e8e228
Ube2a,0.665580753683714,0.14574110735742674,0.9187480152463398,#aa25ea,#aa25ea
Ube2d3,0.143625347806728,0.6055295748294657,0.604589540525773,#259a9a,#27a5a5
Ube2l6,0.8864549361089648,0.3899757980767645,0.8907358923097399,#e263e3,#e263e3
Ube2o,0.040574366010549937,0.9067528948616349,0.715203234117533,#0ae7b6,#0ae7b6
Unc5a,0.4112470628188962,0.015606855587066806,0.4956538422726895,#69047e,#a406c6
Uncx,0.09284900272592743,0.7328875775468046,0.6157554104564751,#18bb9d,#18bb9d
Uqcrc2,0.18493407598437467,0.9938200210712891,0.45278912134316074,#2ffd73,#2ffd73
Urb1,0.8184880412379756,0.3122363538502641,0.9395880530855687,#d150f0,#d150f0
Usp17lc,0.40883008939425847,0.2737004554533161,0.4043057280497877,#684667,#7a5279
Usp27x,0.9998319163700788,0.7959846446648194,0.32740435548218066,#ffcb53,#ffcb53
Usp36,0.8415716609399656,0.3357304924648774,0.9304234096825923,#d756ed,#d756ed
Uspl1,0.0252974948651114,0.7901850824993191,0.44741005179197385,#06c972,#06c972
Vamp1,0.03543659814149265,0.9175634928090219,0.7090550978425716,#09eab5,#09eab5
Veph1,0.002005592410104565,0.9786994055974296,0.6139635842178567,#01fa9d,#01fa9d
Vmn1r63,0.378017264822964,0.11041921354681569,0.46201104596941345,#601c76,#8727a5
Vmn2r10,0.40883008939425847,0.2737004554533161,0.4043057280497877,#684667,#7a5279
Vwa3b,0.003463520786868424,0.9377996173060121,0.5860504903941498,#01ef95,#01ef95
Wbscr16,0.16712084720804665,0.3246425717377147,0.15128048052278528,#2b5327,#488b41
Wdfy2,0.9968150846093795,0.8024285047954101,0.30658479697005225,#fecd4e,#fecd4e
Wdr26,0.018468674644546556,0.8294859576500121,0.4638790938971124,#05d476,#05d476
Wdr34,0.02681508361431628,0.9648490589555931,0.6857499037150891,#07f6af,#07f6af
Wdr45b,0.03543659814149265,0.9175634928090219,0.7090550978425716,#09eab5,#09eab5
Wdr83,0.09284900272592743,0.7328875775468046,0.6157554104564751,#18bb9d,#18bb9d
Wwc1,0.06330412355108454,0.8424130496069775,0.4849449752499536,#10d77c,#10d77c
Zbtb11,0.05078664614346578,0.809953574092703,0.473050554567528,#0dcf79,#0dcf79
Zbtb21,0.693308492104885,0.25857355461042036,0.951734696025096,#b142f3,#b142f3
Zbtb33,0.9617963385279243,0.8412151924330977,0.16264937459939316,#f5d729,#f5d729
Zbtb41,0.4240499806003923,0.16471271879765828,0.4980789907051537,#6c2a7f,#833399
Zc3h11a,0.05196181669813534,0.8956754968118806,0.7290223969909674,#0de4ba,#0de4ba
Zc3h12c,0.0021147629087829006,0.9886553545996409,0.6100779481216672,#01fc9c,#01fc9c
Zc3h6,0.23769138223876737,0.17129431183425683,0.3199057832553647,#3d2c52,#634785
Zdbf2,0.015403305056178429,0.8734465627123037,0.49045727671691247,#04df7d,#04df7d
Zdhhc2,0.6256420105086183,0.18248438716952106,0.9032661370686748,#a02fe6,#a02fe6
Zfand5,0.9999999999999999,0.7952685942554011,0.32862381448688616,#ffcb54,#ffcb54
Zfp207,0.9532890225824017,0.8336213609456931,0.16145865963225298,#f3d529,#f3d529
Zfp24,0.1714078080818809,0.9953290677076269,0.472337826451347,#2cfe78,#2cfe78
Zfp26,0.8188774067963928,0.3133793370398992,0.9779180901508419,#d150f9,#d150f9
Zfp276,0.15975583134843857,0.5073011313109317,0.5184742725750782,#298184,#30999c
Zfp281,0.9112074329030689,0.886557857656327,0.16184052008209246,#e8e229,#e8e229
