,Arc,Prkcz,Nsf,Fmr1,gene
Slc5a10,319,122,558,0,Slc5a10
Slc6a6,793,6,207,1,Slc6a6
Slc7a15,9,936,59,20,Slc7a15
Slco2a1,1,506,485,8,Slco2a1
Smad7,1000,35,0,1,Smad7
Smc1b,0,2,41,981,Smc1b
Smg9,594,431,1,9,Smg9
Smndc1,1000,35,0,1,Smndc1
Snrpd2,0,1,42,980,Snrpd2
Snx18,1000,35,0,1,Snx18
Snx4,0,19,24,998,Snx4
Sorcs2,0,10,33,989,Sorcs2
Sos1,507,518,1,9,Sos1
Sowahc,0,0,43,979,Sowahc
Spata2l,691,336,0,2,Spata2l
Spcs3,495,528,2,0,Spcs3
Specc1l,43,4,0,958,Specc1l
Spin2c,0,20,23,999,Spin2c
Sptlc2,0,21,22,999,Sptlc2
Spty2d1,991,36,0,1,Spty2d1
Srek1ip1,570,455,1,1,Srek1ip1
Srf,998,33,2,1,Srf
Srgap1,0,950,17,32,Srgap1
Ssna1,9,10,978,0,Ssna1
Ssxb2,9,112,876,6,Ssxb2
Stard3nl,0,1,1000,22,Stard3nl
Stmn4,1000,35,0,1,Stmn4
Stx2,1000,35,0,1,Stx2
Sumf2,0,1,1000,22,Sumf2
Suv39h1,0,20,23,999,Suv39h1
Syt4,1000,35,0,1,Syt4
Syt5,0,21,22,999,Syt5
Tada2b,574,451,1,0,Tada2b
Tax1bp1,995,32,0,1,Tax1bp1
Tbc1d17,0,0,43,979,Tbc1d17
Tbcel,991,36,0,1,Tbcel
Tceb2,0,0,43,979,Tceb2
Tcta,0,1,1000,22,Tcta
Tdrp,993,34,0,1,Tdrp
Tes,0,20,23,999,Tes
Tgfb3,1000,35,0,1,Tgfb3
Tgs1,0,97,653,274,Tgs1
Thap4,0,949,2,50,Thap4
Thoc7,0,379,8,636,Thoc7
Tiparp,1000,35,0,1,Tiparp
Tlr13,0,1,1000,22,Tlr13
Tmed2,0,1,1000,22,Tmed2
Tmem119,2,951,28,20,Tmem119
Tmem151b,0,1,1000,22,Tmem151b
Tmem167,7,32,0,977,Tmem167
Tmem201,0,20,23,999,Tmem201
Tmem253,9,120,868,6,Tmem253
Tmem39a,0,20,23,999,Tmem39a
Tmem47,999,36,0,1,Tmem47
Tmem50a,0,22,21,998,Tmem50a
Tmem8b,991,36,0,1,Tmem8b
Tmprss9,0,1,987,35,Tmprss9
Tmx4,0,510,9,504,Tmx4
Tnfrsf23,0,22,21,998,Tnfrsf23
Tnip2,721,304,1,2,Tnip2
Toe1,15,5,977,0,Toe1
Tox4,0,22,21,998,Tox4
Tra2b,994,33,0,1,Tra2b
Traip,0,22,21,998,Traip
Trappc6b,681,342,2,10,Trappc6b
Trhr,0,663,334,1,Trhr
Trib1,1000,35,0,1,Trib1
Trim11,364,663,0,0,Trim11
Trp53inp2,987,24,13,1,Trp53inp2
Tsen54,994,33,0,1,Tsen54
Tspan33,16,6,976,0,Tspan33
Tuba1b,0,1,1000,22,Tuba1b
Tubb2a,0,1,998,24,Tubb2a
Tubb3,0,1,999,23,Tubb3
Tubb4a,0,1,1000,22,Tubb4a
Tubb4b,0,0,43,979,Tubb4b
Txnip,0,20,23,999,Txnip
U2af1l4,1000,35,0,1,U2af1l4
Uba3,1,20,22,1000,Uba3
Ubc,1000,35,0,1,Ubc
Ube2a,0,1,1000,22,Ube2a
Ube2d3,1,22,20,998,Ube2d3
Ube2l6,0,22,21,998,Ube2l6
Ube2o,0,13,984,6,Ube2o
Unc5a,1000,35,0,1,Unc5a
Uncx,0,20,23,999,Uncx
Uqcrc2,0,1,42,980,Uqcrc2
Urb1,1,951,2,46,Urb1
Usp17lc,857,151,23,1,Usp17lc
Usp27x,1000,35,0,1,Usp27x
Usp36,981,19,19,1,Usp36
Uspl1,575,1,8,425,Uspl1
Vamp1,0,22,21,998,Vamp1
Veph1,686,341,0,4,Veph1
Vmn1r63,0,20,23,999,Vmn1r63
Vmn2r10,319,122,558,0,Vmn2r10
Vwa3b,29,983,2,20,Vwa3b
Wbscr16,7,120,870,1,Wbscr16
Wdfy2,0,141,856,8,Wdfy2
Wdr26,0,20,23,999,Wdr26
Wdr34,0,1,42,980,Wdr34
Wdr45b,1,21,21,999,Wdr45b
Wdr83,0,504,493,24,Wdr83
Wwc1,377,1,312,331,Wwc1
