,Arc,Prkcz,Nsf,Fmr1,gene
Thoc7,198,706,143,200,Thoc7
Tiparp,0,0,0,0,Tiparp
Tlr13,928,218,907,935,Tlr13
Tmed2,818,294,873,816,Tmed2
Tmem119,142,834,225,141,Tmem119
Tmem151b,520,488,580,527,Tmem151b
Tmem167,742,322,749,719,Tmem167
Tmem201,900,260,959,887,Tmem201
Tmem253,239,863,344,237,Tmem253
Tmem39a,201,79,209,193,Tmem39a
Tmem47,0,0,0,0,Tmem47
Tmem50a,979,173,872,972,Tmem50a
Tmem8b,0,0,0,0,Tmem8b
Tmprss9,481,609,606,503,Tmprss9
Tmx4,95,828,218,103,Tmx4
Tnfrsf23,891,256,955,878,Tnfrsf23
Tnip2,0,0,0,0,Tnip2
Toe1,15,80,15,25,Toe1
Tox4,653,372,544,642,Tox4
Tra2b,0,0,0,0,Tra2b
Traip,618,436,507,592,Traip
Trappc6b,1,26,0,1,Trappc6b
Trhr,996,160,857,959,Trhr
Trib1,0,0,0,0,Trib1
Trim11,892,254,953,879,Trim11
Trp53inp2,0,0,0,0,Trp53inp2
Tsen54,0,0,0,0,Tsen54
Tspan33,159,162,137,182,Tspan33
Tuba1b,987,171,870,970,Tuba1b
Tubb2a,915,148,835,929,Tubb2a
Tubb3,732,259,728,747,Tubb3
Tubb4a,0,0,0,0,Tubb4a
Tubb4b,986,172,871,971,Tubb4b
Txnip,890,254,953,877,Txnip
U2af1l4,0,0,0,0,U2af1l4
Uba3,939,195,831,953,Uba3
Ubc,0,0,0,0,Ubc
Ube2a,484,530,546,491,Ube2a
Ube2d3,989,171,870,968,Ube2d3
Ube2l6,890,258,957,877,Ube2l6
Ube2o,456,590,347,431,Ube2o
Unc5a,0,0,0,0,Unc5a
Uncx,890,270,969,877,Uncx
Uqcrc2,987,171,870,970,Uqcrc2
Urb1,152,988,289,161,Urb1
Usp17lc,0,0,0,0,Usp17lc
Usp27x,0,0,0,0,Usp27x
Usp36,0,0,0,0,Usp36
Uspl1,976,184,883,961,Uspl1
Vamp1,989,171,870,968,Vamp1
Veph1,881,219,772,893,Veph1
Vmn1r63,892,255,954,879,Vmn1r63
Vmn2r10,0,1,0,0,Vmn2r10
Vwa3b,93,794,95,93,Vwa3b
Wbscr16,35,827,128,39,Wbscr16
Wdfy2,491,487,547,496,Wdfy2
Wdr26,995,161,858,954,Wdr26
Wdr34,957,165,848,969,Wdr34
Wdr45b,948,186,829,917,Wdr45b
Wdr83,322,606,229,319,Wdr83
Wwc1,0,0,0,0,Wwc1
Zbtb11,0,0,0,0,Zbtb11
Zbtb21,0,77,3,2,Zbtb21
Zbtb33,0,0,0,0,Zbtb33
Zbtb41,17,806,112,19,Zbtb41
Zc3h11a,874,229,757,837,Zc3h11a
Zc3h12c,989,171,870,968,Zc3h12c
Zc3h6,52,738,112,74,Zc3h6
