,Arc,Prkcz,Nsf,Fmr1,gene
Vwa3b,0,115,604,0,Vwa3b
Wbscr16,931,19,66,198,Wbscr16
Wdfy2,0,121,598,0,Wdfy2
Wdr26,16,897,1,103,Wdr26
Wdr34,0,114,605,0,Wdr34
Wdr45b,170,13,1,980,Wdr45b
Wdr83,41,889,3,36,Wdr83
Wwc1,0,114,605,0,Wwc1
Zbtb11,0,115,603,1,Zbtb11
Zbtb21,174,4,2,969,Zbtb21
Zbtb33,627,367,41,0,Zbtb33
Zbtb41,0,116,603,0,Zbtb41
Zc3h11a,1,267,62,27,Zc3h11a
Zc3h12c,1,114,603,1,Zc3h12c
